Country;GDP Billion $;Pop;Official language;Currency
Nigeria;568508;184264000;English;Naira
Ethiopia;54798;90076000;Amharic;Birr
Egypt;291538;88523000;Arabic;Egyptian pound
South Africa;352817;54957000;English;South African rand
Tanzania;49115;48829000;English;Tanzanian shilling
Kenya;69937;44234000;swahili;Kenyan shilling
Algeria;214063;39903000;Arabic;Dinar
Sudan;63815;38435000;"Arabic
English";Sudanese pound
Uganda;26312;35760000;English;Ugandan shilling
Morocco;107005;33680000;"Arabic
Berber";Moroccan dirham
Ghana;38648;27714000;English;Ghana cedi
Mozambique;16386;25728000;Portuguese;Mozambican metical
Angola;131401;25326000;Portuguese;Kwanza
Ivory Coast;34254;23326000;French;CFA franc
Madagascar;10593;23043000;French;Malagasy ariary
Cameroon;32549;21918000;French;CFA franc
Niger;8169;18880000;French;CFA franc
Burkina Faso;12543;18450000;French;CFA franc
Mali;12074;17796000;French;CFA franc
